Model,SADA WER,SADA CER,Common Voice 18.0 WER,Common Voice 18.0 CER,MASC (Clean) WER,MASC (Clean) CER,MASC (Noisy) WER,MASC (Noisy) CER,MGB-2 WER,MGB-2 CER,Casablanca WER,Casablanca CER,Average WER,Average CER
arabicai,68.0,37.23,13.08,4.27,36.58,9.85,43.72,14.41,36.92,16.09,71.24,33.59,44.92,19.24
Systran/faster-whisper-large-v3,55.39,34.44,10.86,2.98,35.21,8.65,40.64,13.71,32.87,14.98,66.51,31.2,40.25,17.66
parakeet-1-1b-rnnt-multilingual,71.98,52.47,12.2,5.7,41.51,16.94,48.4,19.09,36.68,15.7,76.1,46.56,47.81,26.08
canary-1b,63.79,33.38,14.19,4.36,37.26,9.85,48.26,14.96,37.69,15.33,79.24,38.0,46.74,19.31
Qwen/Qwen3-ASR-1.7B,52.05,26.67,11.97,3.96,37.12,9.53,43.58,13.08,30.37,11.87,85.31,43.51,43.4,18.1
KFUPM-JRCAI/WhisperLargeArabic,95.26,59.45,55.43,29.21,43.7,27.93,68.85,51.14,79.98,44.22,83.62,47.03,71.14,43.16
KFUPM-JRCAI/WhisperTurboArabic,66.38,33.8,34.37,8.64,17.67,4.99,26.74,10.68,45.64,14.92,72.18,29.57,43.83,17.1
KFUPM-JRCAI/WhisperTurboArabic_v2,58.84,27.57,16.63,5.25,34.93,8.15,40.91,13.69,34.81,13.25,69.87,28.78,42.67,16.12
facebook/omniASR-LLM-1B,59.48,31.69,7.54,4.01,31.1,7.94,38.37,13.39,31.54,13.11,65.26,30.65,38.88,16.8
KFUPM-JRCAI/WhisperArabic_v3,56.57,30.81,11.09,3.03,35.21,8.6,40.64,13.71,33.18,15.31,65.0,28.1,40.28,16.59
